block,pot,fertility,native_dens,exotic_dens,total_dens,exotic_species_code,competition
C,C9,HIGH,9,0,9,,intra
C,C10,LOW,12,0,12,,intra
C,C11,MED,12,0,12,,intra
C,C12,HIGH,12,0,12,,intra
C,C13,LOW,0,3,3,BDIA,intra
C,C14,MED,0,3,3,BDIA,intra
C,C15,HIGH,0,3,3,BDIA,intra
C,C16,LOW,0,6,6,BDIA,intra
C,C17,MED,0,6,6,BDIA,intra
C,C18,HIGH,0,6,6,BDIA,intra
C,C19,LOW,0,9,9,BDIA,intra
C,C20,MED,0,9,9,BDIA,intra
C,C21,HIGH,0,9,9,BDIA,intra
C,C22,LOW,0,12,12,BDIA,intra
C,C23,MED,0,12,12,BDIA,intra
C,C24,HIGH,0,12,12,BDIA,intra
C,C25,LOW,3,3,6,BDIA,inter
C,C26,MED,3,3,6,BDIA,inter
C,C27,HIGH,3,3,6,BDIA,inter
C,C28,LOW,3,6,9,BDIA,inter
C,C29,MED,3,6,9,BDIA,inter
C,C30,HIGH,3,6,9,BDIA,inter
C,C31,LOW,3,9,12,BDIA,inter
C,C32,MED,3,9,12,BDIA,inter
C,C33,HIGH,3,9,12,BDIA,inter
C,C34,LOW,6,3,9,BDIA,inter
C,C35,MED,6,3,9,BDIA,inter
C,C36,HIGH,6,3,9,BDIA,inter
C,C37,LOW,6,6,12,BDIA,inter
C,C38,MED,6,6,12,BDIA,inter
C,C39,HIGH,6,6,12,BDIA,inter
C,C40,LOW,9,3,12,BDIA,inter
C,C41,MED,9,3,12,BDIA,inter
C,C42,HIGH,9,3,12,BDIA,inter
C,C43,LOW,0,3,3,ABAR,intra
C,C44,MED,0,3,3,ABAR,intra
C,C45,HIGH,0,3,3,ABAR,intra
C,C46,LOW,0,6,6,ABAR,intra
C,C47,MED,0,6,6,ABAR,intra
C,C48,HIGH,0,6,6,ABAR,intra
C,C49,LOW,0,9,9,ABAR,intra
C,C50,MED,0,9,9,ABAR,intra
C,C51,HIGH,0,9,9,ABAR,intra
C,C52,LOW,0,12,12,ABAR,intra
C,C53,MED,0,12,12,ABAR,intra
C,C54,HIGH,0,12,12,ABAR,intra
C,C55,LOW,3,3,6,ABAR,inter
C,C56,MED,3,3,6,ABAR,inter
C,C57,HIGH,3,3,6,ABAR,inter
C,C58,LOW,3,6,9,ABAR,inter
C,C59,MED,3,6,9,ABAR,inter
C,C60,HIGH,3,6,9,ABAR,inter
C,C61,LOW,3,9,12,ABAR,inter
C,C62,MED,3,9,12,ABAR,inter
C,C63,HIGH,3,9,12,ABAR,inter
C,C64,LOW,6,3,9,ABAR,inter
C,C65,MED,6,3,9,ABAR,inter
C,C66,HIGH,6,3,9,ABAR,inter
C,C67,LOW,6,6,12,ABAR,inter
C,C68,MED,6,6,12,ABAR,inter
C,C69,HIGH,6,6,12,ABAR,inter
C,C70,LOW,9,3,12,ABAR,inter
C,C71,MED,9,3,12,ABAR,inter
C,C72,HIGH,9,3,12,ABAR,inter
C,C73,LOW,0,3,3,ECUR,intra
C,C74,MED,0,3,3,ECUR,intra
C,C75,HIGH,0,3,3,ECUR,intra
C,C76,LOW,0,6,6,ECUR,intra
C,C77,MED,0,6,6,ECUR,intra
C,C78,HIGH,0,6,6,ECUR,intra
C,C79,LOW,0,9,9,ECUR,intra
C,C80,MED,0,9,9,ECUR,intra
C,C81,HIGH,0,9,9,ECUR,intra
C,C82,LOW,0,12,12,ECUR,intra
C,C83,MED,0,12,12,ECUR,intra
C,C84,HIGH,0,12,12,ECUR,intra
C,C85,LOW,3,3,6,ECUR,inter
C,C86,MED,3,3,6,ECUR,inter
C,C87,HIGH,3,3,6,ECUR,inter
C,C88,LOW,3,6,9,ECUR,inter
C,C89,MED,3,6,9,ECUR,inter
C,C90,HIGH,3,6,9,ECUR,inter
C,C91,LOW,3,9,12,ECUR,inter
C,C92,MED,3,9,12,ECUR,inter
C,C93,HIGH,3,9,12,ECUR,inter
C,C94,LOW,6,3,9,ECUR,inter
C,C95,MED,6,3,9,ECUR,inter
C,C96,HIGH,6,3,9,ECUR,inter
C,C97,LOW,6,6,12,ECUR,inter
C,C98,MED,6,6,12,ECUR,inter
C,C99,HIGH,6,6,12,ECUR,inter
C,C100,LOW,9,3,12,ECUR,inter
C,C101,MED,9,3,12,ECUR,inter
C,C102,HIGH,9,3,12,ECUR,inter
D,D1,LOW,3,0,3,,intra
D,D2,MED,3,0,3,,intra
D,D3,HIGH,3,0,3,,intra
D,D4,LOW,6,0,6,,intra
D,D5,MED,6,0,6,,intra
D,D6,HIGH,6,0,6,,intra
D,D7,LOW,9,0,9,,intra
D,D8,MED,9,0,9,,intra
D,D9,HIGH,9,0,9,,intra
D,D10,LOW,12,0,12,,intra
D,D11,MED,12,0,12,,intra
D,D12,HIGH,12,0,12,,intra
D,D13,LOW,0,3,3,BDIA,intra
D,D14,MED,0,3,3,BDIA,intra
D,D15,HIGH,0,3,3,BDIA,intra
D,D16,LOW,0,6,6,BDIA,intra
D,D17,MED,0,6,6,BDIA,intra
D,D18,HIGH,0,6,6,BDIA,intra
D,D19,LOW,0,9,9,BDIA,intra
D,D20,MED,0,9,9,BDIA,intra
D,D21,HIGH,0,9,9,BDIA,intra
D,D22,LOW,0,12,12,BDIA,intra
D,D23,MED,0,12,12,BDIA,intra
D,D24,HIGH,0,12,12,BDIA,intra
D,D25,LOW,3,3,6,BDIA,inter
D,D26,MED,3,3,6,BDIA,inter
D,D27,HIGH,3,3,6,BDIA,inter
D,D28,LOW,3,6,9,BDIA,inter
D,D29,MED,3,6,9,BDIA,inter
D,D30,HIGH,3,6,9,BDIA,inter
D,D31,LOW,3,9,12,BDIA,inter
D,D32,MED,3,9,12,BDIA,inter
D,D33,HIGH,3,9,12,BDIA,inter
D,D34,LOW,6,3,9,BDIA,inter
D,D35,MED,6,3,9,BDIA,inter
D,D36,HIGH,6,3,9,BDIA,inter
D,D37,LOW,6,6,12,BDIA,inter
D,D38,MED,6,6,12,BDIA,inter
D,D39,HIGH,6,6,12,BDIA,inter
D,D40,LOW,9,3,12,BDIA,inter
D,D41,MED,9,3,12,BDIA,inter
D,D42,HIGH,9,3,12,BDIA,inter
D,D43,LOW,0,3,3,ABAR,intra
D,D44,MED,0,3,3,ABAR,intra
D,D45,HIGH,0,3,3,ABAR,intra
D,D46,LOW,0,6,6,ABAR,intra
D,D47,MED,0,6,6,ABAR,intra
D,D48,HIGH,0,6,6,ABAR,intra
D,D49,LOW,0,9,9,ABAR,intra
D,D50,MED,0,9,9,ABAR,intra
D,D51,HIGH,0,9,9,ABAR,intra
D,D52,LOW,0,12,12,ABAR,intra
D,D53,MED,0,12,12,ABAR,intra
D,D54,HIGH,0,12,12,ABAR,intra
D,D55,LOW,3,3,6,ABAR,inter
D,D56,MED,3,3,6,ABAR,inter
D,D57,HIGH,3,3,6,ABAR,inter
D,D58,LOW,3,6,9,ABAR,inter
D,D59,MED,3,6,9,ABAR,inter
D,D60,HIGH,3,6,9,ABAR,inter
D,D61,LOW,3,9,12,ABAR,inter
D,D62,MED,3,9,12,ABAR,inter
D,D63,HIGH,3,9,12,ABAR,inter
D,D64,LOW,6,3,9,ABAR,inter
D,D65,MED,6,3,9,ABAR,inter
D,D66,HIGH,6,3,9,ABAR,inter
D,D67,LOW,6,6,12,ABAR,inter
D,D68,MED,6,6,12,ABAR,inter
D,D69,HIGH,6,6,12,ABAR,inter
D,D70,LOW,9,3,12,ABAR,inter
D,D71,MED,9,3,12,ABAR,inter
D,D72,HIGH,9,3,12,ABAR,inter
D,D73,LOW,0,3,3,ECUR,intra
D,D74,MED,0,3,3,ECUR,intra
D,D75,HIGH,0,3,3,ECUR,intra
D,D76,LOW,0,6,6,ECUR,intra
D,D77,MED,0,6,6,ECUR,intra
D,D78,HIGH,0,6,6,ECUR,intra
D,D79,LOW,0,9,9,ECUR,intra
D,D80,MED,0,9,9,ECUR,intra
D,D81,HIGH,0,9,9,ECUR,intra
D,D82,LOW,0,12,12,ECUR,intra
D,D83,MED,0,12,12,ECUR,intra
D,D84,HIGH,0,12,12,ECUR,intra
D,D85,LOW,3,3,6,ECUR,inter
D,D86,MED,3,3,6,ECUR,inter
D,D87,HIGH,3,3,6,ECUR,inter
D,D88,LOW,3,6,9,ECUR,inter
D,D89,MED,3,6,9,ECUR,inter
D,D90,HIGH,3,6,9,ECUR,inter
D,D91,LOW,3,9,12,ECUR,inter
D,D92,MED,3,9,12,ECUR,inter
D,D93,HIGH,3,9,12,ECUR,inter
D,D94,LOW,6,3,9,ECUR,inter
D,D95,MED,6,3,9,ECUR,inter
D,D96,HIGH,6,3,9,ECUR,inter
D,D97,LOW,6,6,12,ECUR,inter
D,D98,MED,6,6,12,ECUR,inter
D,D99,HIGH,6,6,12,ECUR,inter
D,D100,LOW,9,3,12,ECUR,inter
D,D101,MED,9,3,12,ECUR,inter
D,D102,HIGH,9,3,12,ECUR,inter
A,A103,LOW,0,0,0,,intra
A,A104,MED,0,0,0,,intra
A,A105,HIGH,0,0,0,,intra
B,B103,LOW,0,0,0,,intra
B,B104,MED,0,0,0,,intra
B,B105,HIGH,0,0,0,,intra
C,C103,LOW,0,0,0,,intra
C,C104,MED,0,0,0,,intra
C,C105,HIGH,0,0,0,,intra
D,D103,LOW,0,0,0,,intra
D,D104,MED,0,0,0,,intra
D,D105,HIGH,0,0,0,,intra
