seedling_id,species_code,block,pot,position,sample_id,planting_notes,date_planted,date_sampled,age_days,native,exotic,biomass_weight_g,seed_weight_g,husk_number,seed_number,total_area,total_leaf_weight_g,total_SLA,fertility,exotic_species_code,total_density
458,ABAR,A,A56,2,A56-2,NA,25/09/2016,15/12/2016,81,0,1,0.2773,0.0166,16,2,NA,NA,NA,MED,ABAR,6
460,ABAR,A,A56,4,A56-4,NA,25/09/2016,15/12/2016,81,0,1,0.32,NA,16,NA,NA,NA,NA,MED,ABAR,6
461,ABAR,A,A56,5,A56-5,NA,25/09/2016,15/12/2016,81,0,1,0.2714,0.0458,12,6,7.479,0.0201,372.089552238806,MED,ABAR,6
463,ABAR,A,A57,1,A57-1,NA,25/09/2016,16/12/2016,82,0,1,0.4622,0.1841,22,14,NA,NA,NA,HIGH,ABAR,6
464,ABAR,A,A57,2,A57-2,NA,25/09/2016,16/12/2016,82,0,1,0.659,0.1377,34,12,NA,NA,NA,HIGH,ABAR,6
468,ABAR,A,A57,6,A57-6,NA,25/09/2016,16/12/2016,82,0,1,0.6802,0.0895,34,8,NA,NA,NA,HIGH,ABAR,6
469,ABAR,A,A58,1,A58-1,NA,25/09/2016,15/12/2016,81,0,1,0.0528,0.0049,4,1,NA,NA,NA,LOW,ABAR,9
472,ABAR,A,A58,4,A58-4,NA,25/09/2016,15/12/2016,81,0,1,0.0904,0.0186,8,2,NA,NA,NA,LOW,ABAR,9
474,ABAR,A,A58,6,A58-6,NA,25/09/2016,15/12/2016,81,0,1,0.0992,0.0042,4,2,NA,NA,NA,LOW,ABAR,9
475,ABAR,A,A58,7,A58-7,NA,25/09/2016,15/12/2016,81,0,1,0.0845,0.0145,4,3,NA,NA,NA,LOW,ABAR,9
476,ABAR,A,A58,8,A58-8,NA,25/09/2016,15/12/2016,81,0,1,0.1191,0.009,8,3,NA,NA,NA,LOW,ABAR,9
477,ABAR,A,A58,9,A58-9,NA,25/09/2016,15/12/2016,81,0,1,0.0956,0.0064,6,2,NA,NA,NA,LOW,ABAR,9
478,ABAR,A,A59,1,A59-1,NA,25/09/2016,15/12/2016,81,0,1,0.25,0.0939,8,9,NA,NA,NA,MED,ABAR,9
479,ABAR,A,A59,2,A59-2,NA,25/09/2016,15/12/2016,81,0,1,0.218,0.021,10,3,NA,NA,NA,MED,ABAR,9
480,ABAR,A,A59,3,A59-3,NA,25/09/2016,15/12/2016,81,0,1,0.3566,0.0168,8,2,NA,NA,NA,MED,ABAR,9
481,ABAR,A,A59,4,A59-4,NA,25/09/2016,15/12/2016,81,0,1,0.1798,0.0109,18,3,NA,NA,NA,MED,ABAR,9
482,ABAR,A,A59,5,A59-5,NA,25/09/2016,15/12/2016,81,0,1,0.0655,0.0125,8,2,NA,NA,NA,MED,ABAR,9
484,ABAR,A,A59,7,A59-7,NA,25/09/2016,15/12/2016,81,0,1,0.0378,0.0084,10,2,NA,NA,NA,MED,ABAR,9
487,ABAR,A,A60,1,A60-1,NA,25/09/2016,16/12/2016,82,0,1,0.321,0.0678,20,9,NA,NA,NA,HIGH,ABAR,9
488,ABAR,A,A60,2,A60-2,NA,25/09/2016,16/12/2016,82,0,1,0.7243,0.0733,28,13,NA,NA,NA,HIGH,ABAR,9
490,ABAR,A,A60,4,A60-4,NA,25/09/2016,16/12/2016,82,0,1,0.3486,NA,20,NA,NA,NA,NA,HIGH,ABAR,9
492,ABAR,A,A60,6,A60-6,NA,25/09/2016,16/12/2016,82,0,1,0.2754,0.0071,14,1,NA,NA,NA,HIGH,ABAR,9
493,ABAR,A,A60,7,A60-7,NA,25/09/2016,16/12/2016,82,0,1,0.3269,0.0165,14,2,NA,NA,NA,HIGH,ABAR,9
494,ABAR,A,A60,8,A60-8,NA,25/09/2016,16/12/2016,82,0,1,0.2426,NA,4,NA,NA,NA,NA,HIGH,ABAR,9
496,ABAR,A,A61,1,A61-1,NA,25/09/2016,16/12/2016,82,0,1,0.0687,0.0062,6,1,NA,NA,NA,LOW,ABAR,11
497,ABAR,A,A61,2,A61-2,NA,25/09/2016,16/12/2016,82,0,1,0.0889,NA,4,NA,NA,NA,NA,LOW,ABAR,11
499,ABAR,A,A61,4,A61-4,NA,25/09/2016,16/12/2016,82,0,1,0.081,NA,4,NA,NA,NA,NA,LOW,ABAR,11
500,ABAR,A,A61,5,A61-5,NA,25/09/2016,16/12/2016,82,0,1,0.0404,0.0092,4,2,NA,NA,NA,LOW,ABAR,11
502,ABAR,A,A61,7,A61-7,NA,25/09/2016,16/12/2016,82,0,1,0.051,NA,2,NA,NA,NA,NA,LOW,ABAR,11
503,ABAR,A,A61,8,A61-8,NA,25/09/2016,16/12/2016,82,0,1,0.0555,0.005,4,1,NA,NA,NA,LOW,ABAR,11
504,ABAR,A,A61,9,A61-9,NA,25/09/2016,16/12/2016,82,0,1,0.0322,NA,2,NA,NA,NA,NA,LOW,ABAR,11
507,ABAR,A,A61,12,A61-12,NA,25/09/2016,16/12/2016,82,0,1,0.0442,0.0066,2,1,NA,NA,NA,LOW,ABAR,11
508,ABAR,A,A62,1,A62-1,NA,25/09/2016,16/12/2016,82,0,1,0.0701,NA,4,NA,NA,NA,NA,MED,ABAR,12
509,ABAR,A,A62,2,A62-2,NA,25/09/2016,16/12/2016,82,0,1,0.081,0.0169,6,1,NA,NA,NA,MED,ABAR,12
510,ABAR,A,A62,3,A62-3,NA,25/09/2016,16/12/2016,82,0,1,0.1374,0.0093,6,2,NA,NA,NA,MED,ABAR,12
512,ABAR,A,A62,5,A62-5,NA,25/09/2016,16/12/2016,82,0,1,0.1055,0.0089,8,2,NA,NA,NA,MED,ABAR,12
514,ABAR,A,A62,7,A62-7,NA,25/09/2016,16/12/2016,82,0,1,0.0924,0.0194,6,1,NA,NA,NA,MED,ABAR,12
515,ABAR,A,A62,8,A62-8,NA,25/09/2016,16/12/2016,82,0,1,0.184,0.0429,6,6,NA,NA,NA,MED,ABAR,12
517,ABAR,A,A62,10,A62-10,NA,25/09/2016,16/12/2016,82,0,1,0.1503,0.0036,10,2,NA,NA,NA,MED,ABAR,12
518,ABAR,A,A62,11,A62-11,NA,25/09/2016,16/12/2016,82,0,1,0.2146,NA,8,NA,NA,NA,NA,MED,ABAR,12
519,ABAR,A,A62,12,A62-12,NA,25/09/2016,16/12/2016,82,0,1,0.1505,0.0156,8,1,NA,NA,NA,MED,ABAR,12
520,ABAR,A,A63,1,A63-1,NA,25/09/2016,16/12/2016,82,0,1,0.3025,0.0023,16,1,NA,NA,NA,HIGH,ABAR,12
521,ABAR,A,A63,2,A63-2,NA,25/09/2016,16/12/2016,82,0,1,0.2448,0.0018,12,1,NA,NA,NA,HIGH,ABAR,12
522,ABAR,A,A63,3,A63-3,NA,25/09/2016,16/12/2016,82,0,1,0.3479,0.0073,16,1,NA,NA,NA,HIGH,ABAR,12
523,ABAR,A,A63,4,A63-4,NA,25/09/2016,16/12/2016,82,0,1,0.2171,0.0166,12,1,NA,NA,NA,HIGH,ABAR,12
526,ABAR,A,A63,7,A63-7,NA,25/09/2016,16/12/2016,82,0,1,0.303,0.0193,12,1,NA,NA,NA,HIGH,ABAR,12
528,ABAR,A,A63,9,A63-9,NA,25/09/2016,16/12/2016,82,0,1,0.164,NA,8,NA,NA,NA,NA,HIGH,ABAR,12
529,ABAR,A,A63,10,A63-10,NA,25/09/2016,16/12/2016,82,0,1,0.2825,0.0099,14,2,NA,NA,NA,HIGH,ABAR,12
530,ABAR,A,A63,11,A63-11,NA,25/09/2016,16/12/2016,82,0,1,0.2137,NA,10,NA,NA,NA,NA,HIGH,ABAR,12
531,ABAR,A,A63,12,A63-12,NA,25/09/2016,16/12/2016,82,0,1,0.285,0.0217,14,6,NA,NA,NA,HIGH,ABAR,12
532,ABAR,A,A64,1,A64-1,NA,25/09/2016,16/12/2016,82,0,1,0.0985,NA,6,NA,NA,NA,NA,LOW,ABAR,9
536,ABAR,A,A64,5,A64-5,NA,25/09/2016,16/12/2016,82,0,1,0.0345,NA,2,NA,NA,NA,NA,LOW,ABAR,9
540,ABAR,A,A64,9,A64-9,NA,25/09/2016,16/12/2016,82,0,1,0.1081,0.0064,6,1,NA,NA,NA,LOW,ABAR,9
546,ABAR,A,A65,6,A65-6,NA,25/09/2016,16/12/2016,82,0,1,0.31,0.0193,16,5,NA,NA,NA,MED,ABAR,9
548,ABAR,A,A65,8,A65-8,NA,25/09/2016,16/12/2016,82,0,1,0.3247,0.0076,16,3,NA,NA,NA,MED,ABAR,9
549,ABAR,A,A65,9,A65-9,NA,25/09/2016,16/12/2016,82,0,1,0.5206,0.0396,23,12,NA,NA,NA,MED,ABAR,9
554,ABAR,A,A66,5,A66-5,NA,25/09/2016,16/12/2016,82,0,1,0.1738,NA,NA,NA,NA,NA,NA,HIGH,ABAR,9
556,ABAR,A,A66,7,A66-7,NA,25/09/2016,16/12/2016,82,0,1,0.1129,0.0071,22,1,NA,NA,NA,HIGH,ABAR,9
558,ABAR,A,A66,9,A66-9,NA,25/09/2016,16/12/2016,82,0,1,0.5037,0.0084,32,2,NA,NA,NA,HIGH,ABAR,9
561,ABAR,A,A67,3,A67-3,NA,25/09/2016,16/12/2016,82,0,1,0.1314,0.021,6,4,NA,NA,NA,LOW,ABAR,12
562,ABAR,A,A67,4,A67-4,NA,25/09/2016,16/12/2016,82,0,1,0.054,0.0067,2,1,NA,NA,NA,LOW,ABAR,12
563,ABAR,A,A67,5,A67-5,NA,25/09/2016,16/12/2016,82,0,1,0.0427,NA,4,NA,NA,NA,NA,LOW,ABAR,12
564,ABAR,A,A67,6,A67-6,NA,25/09/2016,16/12/2016,82,0,1,0.1555,0.0222,6,4,NA,NA,NA,LOW,ABAR,12
565,ABAR,A,A67,7,A67-7,NA,25/09/2016,16/12/2016,82,0,1,0.0782,NA,4,NA,1.584,0.0027,586.6666666666666,LOW,ABAR,12
566,ABAR,A,A67,8,A67-8,NA,25/09/2016,16/12/2016,82,0,1,0.0768,0.0247,4,3,NA,NA,NA,LOW,ABAR,12
573,ABAR,A,A68,3,A68-3,NA,25/09/2016,16/12/2016,82,0,1,0.1159,NA,NA,NA,NA,NA,NA,MED,ABAR,12
575,ABAR,A,A68,5,A68-5,NA,25/09/2016,16/12/2016,82,0,1,0.1511,NA,8,NA,NA,NA,NA,MED,ABAR,12
576,ABAR,A,A68,6,A68-6,NA,25/09/2016,16/12/2016,82,0,1,0.0773,NA,4,NA,NA,NA,NA,MED,ABAR,12
577,ABAR,A,A68,7,A68-7,NA,25/09/2016,16/12/2016,82,0,1,0.1324,NA,6,NA,NA,NA,NA,MED,ABAR,12
578,ABAR,A,A68,8,A68-8,NA,25/09/2016,16/12/2016,82,0,1,0.1498,0.0161,10,1,NA,NA,NA,MED,ABAR,12
582,ABAR,A,A68,12,A68-12,NA,25/09/2016,16/12/2016,82,0,1,0.1961,0.0102,12,3,2.15,0.0045,477.77777777777777,MED,ABAR,12
583,ABAR,A,A69,1,A69-1,NA,25/09/2016,16/12/2016,82,0,1,0.3439,0.0266,20,6,3.3280000000000003,0.0075,443.7333333333334,HIGH,ABAR,12
584,ABAR,A,A69,2,A69-2,NA,25/09/2016,16/12/2016,82,0,1,0.3087,0.0151,18,1,NA,NA,NA,HIGH,ABAR,12
587,ABAR,A,A69,5,A69-5,NA,25/09/2016,16/12/2016,82,0,1,0.2492,0.0058,14,1,NA,NA,NA,HIGH,ABAR,12
588,ABAR,A,A69,6,A69-6,NA,25/09/2016,16/12/2016,82,0,1,0.2145,NA,12,NA,NA,NA,NA,HIGH,ABAR,12
590,ABAR,A,A69,8,A69-8,NA,25/09/2016,16/12/2016,82,0,1,0.2015,NA,10,NA,NA,NA,NA,HIGH,ABAR,12
593,ABAR,A,A69,11,A69-11,NA,25/09/2016,16/12/2016,82,0,1,0.2913,0.0088,16,3,NA,NA,NA,HIGH,ABAR,12
598,ABAR,A,A70,4,A70-4,NA,25/09/2016,16/12/2016,82,0,1,0.0608,0.0048,4,1,NA,NA,NA,LOW,ABAR,9
599,ABAR,A,A70,5,A70-5,NA,25/09/2016,16/12/2016,82,0,1,0.0368,NA,4,NA,NA,NA,NA,LOW,ABAR,9
603,ABAR,A,A70,9,A70-9,NA,25/09/2016,16/12/2016,82,0,1,0.0838,NA,4,NA,NA,NA,NA,LOW,ABAR,9
609,ABAR,A,A71,3,A71-3,NA,25/09/2016,16/12/2016,82,0,1,0.2935,0.0108,12,2,NA,NA,NA,MED,ABAR,12
613,ABAR,A,A71,7,A71-7,NA,25/09/2016,16/12/2016,82,0,1,0.1418,0.0386,6,4,NA,NA,NA,MED,ABAR,12
614,ABAR,A,A71,8,A71-8,NA,25/09/2016,16/12/2016,82,0,1,0.2348,0.0148,12,4,NA,NA,NA,MED,ABAR,12
619,ABAR,A,A72,1,A72-1,NA,25/09/2016,16/12/2016,82,0,1,0.3757,0.0362,18,5,NA,NA,NA,HIGH,ABAR,12
628,ABAR,A,A72,10,A72-10,NA,25/09/2016,16/12/2016,82,0,1,0.3426,0.0571,18,5,NA,NA,NA,HIGH,ABAR,12
630,ABAR,A,A72,12,A72-12,NA,25/09/2016,16/12/2016,82,0,1,0.3875,0.0123,18,2,NA,NA,NA,HIGH,ABAR,12
1261,ABAR,B,B43,1,B43-1,NA,24/09/2016,14/12/2016,81,0,1,0.1892,0.0498,22,8,NA,NA,NA,LOW,ABAR,3
1262,ABAR,B,B43,2,B43-2,NA,24/09/2016,14/12/2016,81,0,1,0.1598,NA,8,NA,NA,NA,NA,LOW,ABAR,3
