seedling_id,sample_id,seed_weight_g,seed_notes,husk_number,seed_number
413,A51-8,0.0196,NA,12,1
414,A51-9,0.0616,NA,18,8
415,A52-1,0.0109,NA,2,2
417,A52-3,0.007,NA,2,1
418,A52-4,NA,NA,2,NA
419,A52-5,0.0128,NA,2,1
420,A52-6,0.0058,NA,4,1
421,A52-7,0.0065,NA,4,1
422,A52-8,NA,NA,2,NA
423,A52-9,0.0179,NA,4,3
424,A52-10,0.0066,NA,4,1
425,A52-11,0.0248,NA,4,3
426,A52-12,0.0058,NA,4,1
427,A53-1,NA,NA,6,NA
428,A53-2,NA,NA,6,NA
429,A53-3,0.0082,NA,6,1
430,A53-4,NA,NA,6,NA
431,A53-5,NA,NA,8,NA
432,A53-6,NA,NA,6,NA
433,A53-7,0.0074,NA,4,1
434,A53-8,0.0034,NA,NA,1
435,A53-9,NA,NA,6,NA
436,A53-10,0.048,NA,8,2
437,A53-11,0.0149,NA,12,3
438,A53-12,NA,NA,6,NA
439,A54-1,NA,NA,6,NA
440,A54-2,0.0209,NA,12,4
441,A54-3,NA,NA,6,NA
442,A54-4,0.0205,NA,16,6
443,A54-5,NA,NA,8,NA
444,A54-6,NA,NA,8,NA
445,A54-7,NA,NA,14,NA
446,A54-8,NA,NA,4,NA
447,A54-9,0.0423,NA,10,4
448,A54-10,0.0356,NA,24,11
449,A54-11,NA,NA,8,NA
450,A54-12,NA,NA,9,NA
452,A55-2,0.0049,NA,6,1
453,A55-3,NA,NA,10,NA
458,A56-2,0.0166,NA,16,2
460,A56-4,NA,NA,16,NA
461,A56-5,0.0458,NA,12,6
463,A57-1,0.1841,NA,22,14
464,A57-2,0.1377,NA,34,12
468,A57-6,0.0895,NA,34,8
469,A58-1,0.0049,NA,4,1
472,A58-4,0.0186,NA,8,2
474,A58-6,0.0042,NA,4,2
475,A58-7,0.0145,NA,4,3
476,A58-8,0.009,NA,8,3
477,A58-9,0.0064,NA,6,2
478,A59-1,0.0939,NA,8,9
479,A59-2,0.021,NA,10,3
480,A59-3,0.0168,NA,8,2
481,A59-4,0.0109,NA,18,3
482,A59-5,0.0125,NA,8,2
484,A59-7,0.0084,NA,10,2
487,A60-1,0.0678,NA,20,9
488,A60-2,0.0733,NA,28,13
490,A60-4,NA,NA,20,NA
492,A60-6,0.0071,NA,14,1
493,A60-7,0.0165,NA,14,2
494,A60-8,NA,NA,4,NA
496,A61-1,0.0062,NA,6,1
497,A61-2,NA,NA,4,NA
499,A61-4,NA,NA,4,NA
500,A61-5,0.0092,NA,4,2
501,A61-6,0.0147,NA,NA,NA
502,A61-7,NA,NA,2,NA
503,A61-8,0.005,NA,4,1
504,A61-9,NA,NA,2,NA
507,A61-12,0.0066,NA,2,1
508,A62-1,NA,NA,4,NA
509,A62-2,0.0169,NA,6,1
510,A62-3,0.0093,NA,6,2
512,A62-5,0.0089,NA,8,2
514,A62-7,0.0194,NA,6,1
515,A62-8,0.0429,NA,6,6
517,A62-10,0.0036,NA,10,2
518,A62-11,NA,NA,8,NA
519,A62-12,0.0156,NA,8,1
520,A63-1,0.0023,NA,16,1
521,A63-2,0.0018,NA,12,1
522,A63-3,0.0073,NA,16,1
523,A63-4,0.0166,NA,12,1
526,A63-7,0.0193,NA,12,1
527,A63-8,0.0409,NA,NA,NA
528,A63-9,NA,NA,8,NA
529,A63-10,0.0099,NA,14,2
530,A63-11,NA,NA,10,NA
531,A63-12,0.0217,NA,14,6
532,A64-1,NA,NA,6,NA
536,A64-5,NA,NA,2,NA
540,A64-9,0.0064,NA,6,1
546,A65-6,0.0193,NA,16,5
548,A65-8,0.0076,NA,16,3
549,A65-9,0.0396,NA,23,12
556,A66-7,0.0071,NA,22,1
558,A66-9,0.0084,NA,32,2
561,A67-3,0.021,NA,6,4
562,A67-4,0.0067,NA,2,1
563,A67-5,NA,NA,4,NA
564,A67-6,0.0222,NA,6,4
565,A67-7,NA,NA,4,NA
566,A67-8,0.0247,NA,4,3
570,A67-12,0.0134,NA,NA,NA
575,A68-5,NA,NA,8,NA
576,A68-6,NA,NA,4,NA
577,A68-7,NA,NA,6,NA
578,A68-8,0.0161,NA,10,1
582,A68-12,0.0102,NA,12,3
583,A69-1,0.0266,NA,20,6
584,A69-2,0.0151,NA,18,1
587,A69-5,0.0058,NA,14,1
588,A69-6,NA,NA,12,NA
590,A69-8,NA,NA,10,NA
593,A69-11,0.0088,NA,16,3
596,A70-2,0.007,NA,NA,NA
598,A70-4,0.0048,NA,4,1
599,A70-5,NA,NA,4,NA
603,A70-9,NA,NA,4,NA
608,A71-2,0.0696,NA,NA,NA
609,A71-3,0.0108,NA,12,2
613,A71-7,0.0386,NA,6,4
614,A71-8,0.0148,NA,12,4
619,A72-1,0.0362,NA,18,5
628,A72-10,0.0571,NA,18,5
630,A72-12,0.0123,NA,18,2
634,A74-1,0.0164,NA,NA,NA
635,A74-2,0.0119,NA,NA,NA
636,A74-3,0.0188,NA,NA,NA
637,A75-1,0.0223,NA,NA,NA
638,A75-2,0.0289,NA,NA,NA
639,A75-3,0.0387,NA,NA,NA
647,A77-2,0.007,NA,NA,NA
648,A77-3,0.0078,NA,NA,NA
653,A78-2,0.0093,NA,NA,NA
654,A78-3,0.0143,NA,NA,NA
656,A78-5,0.0155,NA,NA,NA
657,A78-6,0.0331,NA,NA,NA
682,A81-7,0.0133,NA,NA,NA
684,A81-9,0.0119,NA,NA,NA
716,A84-8,0.009,NA,NA,NA
720,A84-12,0.0085,NA,NA,NA
734,A87-2,0.0165,NA,NA,NA
738,A87-6,0.0142,NA,NA,NA
763,A90-7,0.0091,NA,NA,NA
822,A96-3,0.0054,NA,NA,NA
874,A100-10,0.0133,NA,NA,NA
877,A101-1,0.0402,NA,NA,NA
890,A102-2,0.0648,NA,NA,NA
967,B11-1,0.0107,NA,NA,NA
975,B11-9,0.0301,NA,NA,NA
991,B13-1,0.1,NA,NA,NA
992,B13-2,0.1204,NA,NA,NA
993,B13-3,0.0809,NA,NA,NA
994,B14-1,0.3032,NA,NA,NA
995,B14-2,0.4237,NA,NA,NA
996,B14-3,0.2227,NA,NA,NA
997,B15-1,0.48,NA,NA,NA
998,B15-2,0.56,NA,NA,NA
999,B15-3,0.7167,NA,NA,NA
1006,B17-1,0.1668,NA,NA,NA
1007,B17-2,0.1767,NA,NA,NA
1008,B17-3,0.1469,NA,NA,NA
1009,B17-4,0.1337,NA,NA,NA
1010,B17-5,0.1713,NA,NA,NA
1011,B17-6,0.1692,NA,NA,NA
1012,B18-1,0.2783,NA,NA,NA
1013,B18-2,0.3794,NA,NA,NA
1014,B18-3,0.2438,NA,NA,NA
1015,B18-4,0.2196,NA,NA,NA
1016,B18-5,0.2749,NA,NA,NA
1017,B18-6,0.2925,NA,NA,NA
1018,B19-1,0.0165,NA,NA,NA
1019,B19-2,0.0551,NA,NA,NA
1020,B19-3,0.0144,NA,NA,NA
1021,B19-4,0.0301,NA,NA,NA
1022,B19-5,0.0496,NA,NA,NA
1024,B19-7,0.0491,Possibly B19-6,NA,NA
1025,B19-8,0.0162,NA,NA,NA
1026,B19-9,0.063,NA,NA,NA
1027,B20-1,0.1023,NA,NA,NA
1029,B20-3,0.1359,NA,NA,NA
1030,B20-4,0.0877,NA,NA,NA
1031,B20-5,0.0795,NA,NA,NA
1032,B20-6,0.1203,NA,NA,NA
1033,B20-7,0.0964,NA,NA,NA
1034,B20-8,0.1072,NA,NA,NA
1035,B20-9,0.1307,NA,NA,NA
1036,B21-1,0.2179,NA,NA,NA
1037,B21-2,0.2505,NA,NA,NA
1038,B21-3,0.2506,NA,NA,NA
1039,B21-4,0.2022,NA,NA,NA
1040,B21-5,0.1705,NA,NA,NA
1041,B21-6,0.1585,NA,NA,NA
1042,B21-7,0.2986,NA,NA,NA
1043,B21-8,0.1729,NA,NA,NA
1045,B22-1,0.0261,NA,NA,NA
1046,B22-2,0.0438,NA,NA,NA
1047,B22-3,0.0355,NA,NA,NA
1048,B22-4,0.0336,NA,NA,NA
1049,B22-5,0.0382,NA,NA,NA
1050,B22-6,0.0233,NA,NA,NA
1051,B22-7,0.0494,NA,NA,NA
1052,B22-8,0.043,NA,NA,NA
1053,B22-9,0.0234,NA,NA,NA
1054,B22-10,0.0378,NA,NA,NA
1055,B22-11,0.0511,NA,NA,NA
1056,B22-12,0.0046,NA,NA,NA
1057,B23-1,0.1015,NA,NA,NA
1058,B23-2,0.0657,NA,NA,NA
1059,B23-3,0.0887,NA,NA,NA
1060,B23-4,0.0914,NA,NA,NA
1061,B23-5,0.0916,NA,NA,NA
1062,B23-6,0.0192,NA,NA,NA
1063,B23-7,0.0933,NA,NA,NA
1064,B23-8,0.0636,NA,NA,NA
1065,B23-9,0.0674,NA,NA,NA
1066,B23-10,0.0958,NA,NA,NA
1067,B23-11,0.0833,NA,NA,NA
1068,B23-12,0.1358,NA,NA,NA
1069,B24-1,0.1484,NA,NA,NA
1070,B24-2,0.1365,NA,NA,NA
1071,B24-3,0.1924,NA,NA,NA
1072,B24-4,0.1216,NA,NA,NA
1073,B24-5,0.1226,NA,NA,NA
1074,B24-6,0.1282,NA,NA,NA
1075,B24-7,0.1545,NA,NA,NA
1076,B24-8,0.1173,NA,NA,NA
1077,B24-9,0.1327,NA,NA,NA
1078,B24-10,0.1391,NA,NA,NA
1079,B24-11,0.094,NA,NA,NA
1080,B24-12,0.0748,NA,NA,NA
1081,B25-1,0.0384,NA,NA,NA
1082,B25-2,0.036,NA,NA,NA
1085,B25-5,0.0712,NA,NA,NA
