block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,28,1,A28-1,ABIG,199,0.0085,,
A,28,2,A28-2,BDIA,200,0.0474,,
A,28,3,A28-3,RCAES,201,,,
A,28,4,A28-4,PLAB,202,,,
A,28,5,A28-5,BDIA,203,0.0403,,
A,28,6,A28-6,BDIA,204,0.0446,,
A,28,7,A28-7,BDIA,205,0.0624,,
A,28,8,A28-8,BDIA,206,0.0505,,
A,28,9,A28-9,BDIA,207,0.0508,,
A,29,1,A29-1,ABIG,208,,,
A,29,2,A29-2,BDIA,209,0.1401,,
A,29,3,A29-3,BDIA,210,0.0903,,
A,29,4,A29-4,BDIA,211,0.0869,,
A,29,5,A29-5,RCAES,212,,,
A,29,6,A29-6,BDIA,213,0.1655,,
A,29,7,A29-7,BDIA,214,0.1416,,
A,29,8,A29-8,PLAB,215,,,
A,29,9,A29-9,BDIA,216,0.1526,,
A,30,1,A30-1,BDIA,217,0.2609,,
A,30,2,A30-2,BDIA,218,0.2851,,
A,30,3,A30-3,PLAB,219,,,
A,30,4,A30-4,ABIG,220,,,
A,30,5,A30-5,BDIA,221,0.1975,,
A,30,6,A30-6,BDIA,222,0.2338,,
A,30,7,A30-7,BDIA,223,0.2185,,
A,30,8,A30-8,RCAES,224,,,
A,30,9,A30-9,BDIA,225,0.279,,
A,31,1,A31-1,RCAES,226,,,
A,31,2,A31-2,BDIA,227,0.0324,,
A,31,3,A31-3,BDIA,228,0.0346,,
A,31,4,A31-4,BDIA,229,0.0475,,
A,31,5,A31-5,BDIA,230,0.0301,,
A,31,6,A31-6,PLAB,231,,,
A,31,7,A31-7,BDIA,232,0.0305,,
A,31,8,A31-8,BDIA,233,0.0452,,
A,31,9,A31-9,BDIA,234,,,
A,31,10,A31-10,BDIA,235,0.0406,,
A,31,11,A31-11,ABIG,236,,,
A,31,12,A31-12,BDIA,237,0.0267,,
A,32,1,A32-1,PLAB,238,,,
A,32,2,A32-2,BDIA,239,0.1266,,
A,32,3,A32-3,BDIA,240,0.0888,,
A,32,4,A32-4,BDIA,241,0.0978,,
A,32,5,A32-5,BDIA,242,0.0884,,
A,32,6,A32-6,BDIA,243,0.0782,,
