seedling_id,sample_id,seed_weight2,seed_number2,husk_number2
1193,B37-5,0.04,,
1195,B37-7,0.037,,
1197,B37-9,0.0263,,
1198,B37-10,0.0318,,
1199,B37-11,0.0409,,
1201,B38-1,0.1522,,
1205,B38-5,0.1016,,
1208,B38-8,0.1105,,
1211,B38-11,0.1435,,
1212,B38-12,0.1126,,
1214,B39-2,0.1791,,
1215,B39-3,0.1462,,
1220,B39-8,0.1508,,
1221,B39-9,0.1018,,
1222,B39-10,0.2296,,
1224,B39-12,0.2049,,
1261,B43-1,0.0498,8,
1265,B44-2,0.003,1,14
1266,B44-3,0.2096,17,22
1272,B46-3,0.0045,1,4
1273,B46-4,0.0139,2,10
1275,B46-6,0.0165,2,4
1277,B47-2,0.0541,8,10
1278,B47-3,0.1291,10,14
1279,B47-4,0.009,2,6
1280,B47-5,0.0518,4,14
1282,B48-1,0.0055,1,34
1283,B48-2,0.0165,1,26
1284,B48-3,0.0207,1,19
1286,B48-5,,0,20
1287,B48-6,0.0113,1,20
1292,B49-5,0.0036,1,4
1293,B49-6,0.0073,1,4
1297,B50-1,0.0292,3,12
1300,B50-4,0.008,2,8
1301,B50-5,0.0797,8,16
1302,B50-6,0.0042,1,14
1303,B50-7,0.0366,3,8
1305,B50-9,0.036,4,12
1307,B51-2,0.0237,2,4
1308,B51-3,0.0677,16,20
1316,B52-2,0.012,1,2
1318,B52-4,0.0114,1,4
1322,B52-8,0.0088,1,3
1324,B52-10,0.0034,1,4
1326,B52-12,0.008,2,4
1328,B53-2,0.0096,1,8
1329,B53-3,0.015,1,6
1335,B53-9,0.0066,1,6
1338,B53-12,0.0088,2,8
1358,B56-2,0.054,,
1362,B56-6,0.0238,4,38
1372,B58-4,0.0317,4,6
1373,B58-5,0.0082,1,4
1410,B62-3,0.0109,1,6
1414,B62-7,0.0314,2,6
1418,B62-11,0.0048,1,10
1421,B63-2,,,12
1422,B63-3,,,6
1423,B63-4,,,14
1424,B63-5,,,14
1425,B63-6,,,12
1429,B63-10,,,14
1453,B66-4,0.016,2,12
1454,B66-5,0.0082,2,26
1456,B66-7,0.0182,4,24
1459,B67-1,0.077,1,6
1464,B67-6,0.0066,1,4
1468,B67-10,0.0084,,
1475,B68-5,0.004,1,6
1476,B68-6,0.0513,4,8
1481,B68-11,0.0047,1,13
1483,B69-1,0.0064,2,10
1484,B69-2,0.0158,2,16
1491,B69-9,0.08,6,12
1496,B70-2,0.0068,1,4
1499,B70-5,0.0103,,
1504,B70-10,0.0031,1,6
1511,B71-5,,,12
1514,B71-8,,,8
1515,B71-9,,,24
1520,B72-2,0.0219,2,24
1912,C18-1,0.1953,,
1913,C18-2,0.189,,
1914,C18-3,0.287,,
1915,C18-4,0.1501,,
1916,C18-5,0.0246,,
