seedling_id,sample_id,biomass_weight_g,weight_notes
573,A68-3,0.1159,NA
574,A68-4,0.0468,NA
575,A68-5,0.1511,NA
576,A68-6,0.0773,NA
577,A68-7,0.1324,NA
578,A68-8,0.1498,NA
579,A68-9,0.0409,NA
580,A68-10,0.0437,NA
581,A68-11,0.0467,NA
582,A68-12,0.1961,NA
583,A69-1,0.3439,NA
584,A69-2,0.3087,NA
585,A69-3,0.1171,NA
586,A69-4,0.0373,NA
587,A69-5,0.2492,NA
588,A69-6,0.2145,NA
589,A69-7,0.1194,NA
590,A69-8,0.2015,NA
591,A69-9,0.111,NA
592,A69-10,0.0638,NA
593,A69-11,0.2913,NA
594,A69-12,0.0299,NA
595,A70-1,0.0301,NA
596,A70-2,0.248,NA
597,A70-3,0.0267,NA
598,A70-4,0.0608,NA
599,A70-5,0.0368,NA
600,A70-6,0.0133,NA
601,A70-7,0.05,NA
602,A70-8,0.0272,NA
603,A70-9,0.0838,NA
607,A71-1,0.39,NA
608,A71-2,0.1123,NA
609,A71-3,0.2935,NA
610,A71-4,0.031,NA
611,A71-5,0.0577,NA
612,A71-6,0.0675,NA
613,A71-7,0.1418,NA
614,A71-8,0.2348,NA
615,A71-9,0.1098,NA
616,A71-10,0.0973,NA
617,A71-11,0.0322,NA
618,A71-12,0.0722,NA
619,A72-1,0.3757,NA
620,A72-2,0.1277,NA
621,A72-3,0.1091,NA
622,A72-4,0.0901,NA
623,A72-5,0.1906,NA
624,A72-6,0.0626,NA
625,A72-7,0.1191,NA
626,A72-8,0.0866,NA
627,A72-9,0.112,NA
628,A72-10,0.3426,NA
629,A72-11,0.0927,NA
630,A72-12,0.3875,NA
631,A73-1,0.1099,NA
632,A73-2,0.0875,NA
633,A73-3,0.1574,NA
634,A74-1,0.5499,NA
635,A74-2,0.3458,NA
636,A74-3,0.6361,NA
637,A75-1,0.7291,NA
638,A75-2,0.9674,NA
639,A75-3,1.3404,NA
640,A76-1,0.0428,NA
641,A76-2,0.0401,NA
642,A76-3,0.0529,NA
643,A76-4,0.0538,NA
644,A76-5,0.0768,NA
645,A76-6,0.0627,NA
646,A77-1,0.2636,NA
647,A77-2,0.3245,NA
648,A77-3,0.3267,NA
649,A77-4,0.2781,NA
650,A77-5,0.1341,NA
651,A77-6,0.1901,NA
652,A78-1,0.2571,NA
653,A78-2,0.3259,NA
654,A78-3,0.4884,NA
655,A78-4,0.2394,NA
656,A78-5,0.5242,NA
657,A78-6,0.6512,NA
