seedling_id,sample_id,leaf_id,leaf_area_cm2,leaf_perimeter_cm,area_notes
2177,C47-2,1,4.404,22.933,
2177,C47-2,2,6.693,35.127,
2185,C48-4,1,8.236,34.412,No sample present in image
2185,C48-4,2,7.039,26.505,
2222,C52-8,1,1.921,11.977,
2222,C52-8,2,1.328,14.386,
2234,C53-8,1,2.828,18.305,
2234,C53-8,2,4.451,22.565,
2242,C54-4,1,1.739,10.667,
2242,C54-4,2,0.81,8.219,
2253,C55-3,1,3.587,27.461,
2253,C55-3,2,3.349,21.971,
2255,C55-5,1,1.721,10.837,
2255,C55-5,2,3.211,22.395,
2259,C56-3,1,7.048,36.706,
2259,C56-3,2,6.704,29.841,
2260,C56-4,1,3.29,17.289,
2260,C56-4,2,6.026,36.07,
2359,C67-1,1,2.603,18.077,
2359,C67-1,2,1.034,11.454,
2361,C67-3,1,0.711,8.462,
2361,C67-3,2,1.173,12.18,
2361,C67-3,3,2.023,19.305,
2373,C68-3,1,3.288,20.559,
2373,C68-3,2,3.459,22.826,
2377,C68-7,1,2.533,16.88,
2377,C68-7,2,1.14,11.879,
2386,C69-4,1,5.247,29.528,
2386,C69-4,2,3.951,22.16,
2442,C76-3,1,1.818,39.757,
2442,C76-3,2,0.566,15.209,
2442,C76-3,3,0.375,14.879,
2442,C76-3,4,1.51,33.374,
2451,C77-6,1,1.872,32.878,
2451,C77-6,2,2.897,37.876,
2451,C77-6,3,3.885,40.856,
2452,C78-1,1,2.538,36.668,
2452,C78-1,2,2.985,47.442,
2452,C78-1,3,1.518,41.146,
2452,C78-1,4,1.547,35.404,
2452,C78-1,5,2.866,36.385,
2452,C78-1,6,2.693,32.285,
2489,C82-5,1,1.197,35.765,
2489,C82-5,2,1.108,23.088,
2489,C82-5,3,1.217,24.651,
2519,C84-11,1,0.313,7.036,
2519,C84-11,2,4.145,73.536,
2519,C84-11,3,0.173,4.008,
2519,C84-11,4,2.226,36.97,
2522,C85-2,1,5.402,27.614,
